# LARGE50: fixed membership; top 50 of 67 candidates by median daily traded value (close*volume, last 60 sessions to 2026-09-20); liquidity proxy, NOT market cap; candidate list unverified
symbol,valid_from
ACB,2018-01-02
BID,2018-01-02
CII,2018-01-02
CTG,2018-01-02
DCM,2018-01-02
DGW,2018-01-02
DIG,2018-01-02
DPM,2018-01-02
DXG,2018-01-02
EIB,2018-01-02
FPT,2018-01-02
FRT,2018-04-26
GAS,2018-01-02
GEX,2018-01-02
GMD,2018-01-02
GVR,2018-03-21
HCM,2018-01-02
HDB,2018-01-05
HPG,2018-01-02
KBC,2018-01-02
KDH,2018-01-02
LPB,2018-01-02
MBB,2018-01-02
MSB,2020-12-23
MSN,2018-01-02
MWG,2018-01-02
NLG,2018-01-02
NVL,2018-01-02
PC1,2018-01-02
PDR,2018-01-02
PLX,2018-01-02
PNJ,2018-01-02
POW,2018-03-06
PVD,2018-01-02
SHB,2018-01-02
SSI,2018-01-02
STB,2018-01-02
TCB,2018-06-04
TPB,2018-04-19
VCB,2018-01-02
VCG,2018-01-02
VCI,2018-01-02
VHM,2018-05-17
VIB,2018-01-02
VIC,2018-01-02
VJC,2018-01-02
VND,2018-01-02
VNM,2018-01-02
VPB,2018-01-02
VRE,2018-01-02
